nctid,why_stopped,covid19_explicit,restart_expected
NCT05334966,Replaced by clinical trial,FALSE,NA
NCT04022356,This study was not able to start within the time limit due to Coronavirus,TRUE,FALSE
NCT04041258,the number of patients was not sufficient to support continuation of the study,FALSE,NA
NCT03936192,Company decision,FALSE,NA
NCT03787251,"In China, apatinib has been approved as an indication drug for esophageal squamous cell carcinoma, which makes it very difficult for our clinical trial to enroll patients. We regret that we failed to implement the design as planned.",FALSE,NA
NCT00182156,NA,FALSE,NA
NCT01179932,Never started,FALSE,NA
NCT01488149,Study never started,FALSE,NA
NCT01497509,Study never started,FALSE,NA
NCT02947516,Funding n/a,FALSE,NA
NCT04674735,Cancelled by Sponsor,FALSE,NA
NCT04750278,"Study stopped at interim analysis point, due to lack of study subjects to recruit.",FALSE,NA
NCT04813991,Enrollment was never initiated and the PI is leaving the institution so the study is closing.,FALSE,NA
NCT05157997,New information regarding COVID-19,FALSE,NA
NCT05298267,withdrawn prior to study launch because a research partnership with the school district could not be secured in time,FALSE,NA
NCT05335980,Lack of funding,FALSE,NA
NCT05341388,not enough participants due to the pandemia,TRUE,FALSE
NCT05341934,No Inclusion/ Study never begin,FALSE,NA
NCT05343949,"lead coordinatior has left the site, need to find alternative lead for the study",FALSE,NA
NCT05347108,Lack of funding,FALSE,NA
NCT04649775,no eligible participants,FALSE,NA
NCT04624815,logistics problems,FALSE,NA
NCT04625543,insufficient money,FALSE,NA
NCT04582396,majority of the participants had exclusion criteria of anticoagulant use,FALSE,NA
NCT04345913,Other - pending amendment,FALSE,NA
NCT04371393,"At 3d interim analysis, randomization, but not follow-up, was halted by the DSMB due to low predictive probability of achieving postulated mortality benefit (pre-specified 42.5% relative mortality reduction) were the trial to complete randomization.",FALSE,NA
NCT04279925,Aerosol risk of COVID-19 spread resulting a slow subject recruitment,TRUE,FALSE
NCT04251442,Per funding institution,FALSE,NA
NCT03519308,The accrual goal could not be met and the drug manufacturer pulled support,FALSE,NA
NCT03555968,Logistical issues,FALSE,NA
NCT03629483,Trial stopped by the sponsor because of no funding.,FALSE,NA
NCT03630653,The study was stopped prematurely due to insufficient recruitment,FALSE,NA
NCT03709758,"Accrual goal met, pending new cohort activation",FALSE,NA
NCT03734419,Couldn't get IRB approval for this study,FALSE,NA
NCT03859869,Business Considerations (difficulty with enrollment),FALSE,NA
NCT03911869,"Study terminated due to lack of enrollment of the target population. There were no safety, efficacy, or regulatory interaction involved in the decision to stop enrollment.",FALSE,NA
NCT03918122,Not enough enrolled,FALSE,NA
NCT03473847,Devices currently awaiting software updates,FALSE,NA
NCT03479502,Lack of personnel to help with recruiting,FALSE,NA
NCT03481959,insufficient recrutement in the study,FALSE,NA
NCT03172897,The trial was stopped because of difficulty in recruiting patients (another trial had similar inclusion/exclusion criteria). No patients was recruited in this trial.,FALSE,NA
NCT03193437,Slow Accrual,FALSE,NA
NCT03294252,The 34 patients included had all completed their treatment period under the protocol and the data could be collected to assess the main objective and the secondary objectives before the last theoretical follow-up.,FALSE,NA
NCT03418272,Study withdrawn until time and staff allow its completion.,FALSE,NA
NCT02325427,short of funding support.,FALSE,NA
NCT02519985,Devices currently awaiting software updates,FALSE,NA
NCT02841969,"Following consultation, neutral electrolysed water was deemed to be a medical device. A study amendment will re-submitted to NHS Ethics and the UK regulator (MHRA). These actions delayed due to the pandemic - expected to take place in June 2022.",TRUE,TRUE
NCT02920333,The grant funding has expired,FALSE,NA
NCT03021135,low rate of enrollment during the pandemia,TRUE,FALSE
NCT01845441,The principal investigator left employment at the sponsoring Institution,FALSE,NA
NCT05350579,Due to the onset of the COVID-19 pandemic,TRUE,FALSE
NCT05353920,Did not have enough funding to do this research.,FALSE,NA
NCT05355506,covid-19,TRUE,FALSE
NCT05156463,Award not yet received and PI is transferring to a different institution,FALSE,NA
NCT05158153,Inadequate recruitment,FALSE,NA
NCT05180149,"The sponsor of the study has changed. The study will be released, managed and registered by another institution who will be acting as a responsible party.",FALSE,NA
NCT05223881,Study is not feasible at this time due to staffing limitations,FALSE,NA
NCT05119894,Sponsor decision:Change the Development plan,FALSE,NA
NCT05041972,Business strategy change,FALSE,NA
NCT04978337,Janssen made the strategic decision to discontinue the PRIMROSE study. This decision is not based on any safety concerns.,FALSE,NA
NCT05004870,Study objective embedded into future study,FALSE,NA
NCT05035576,Sponsor Decision,FALSE,NA
NCT04897607,Lapse in IRB approval: the continuing review was submitted prior to the expiration date but not in time to get on the schedule for a full board review meeting. We have been in communication with our IRB about this and anticipate approval in May.,FALSE,NA
NCT04902274,Fellowship Graduation December 2021,FALSE,NA
NCT04918771,"Due to the end of the ARVI and influenza season, suspended until approximately September 01, 2022.",FALSE,NA
NCT04588948,Study did not proceed due to funding issues.,FALSE,NA
NCT04633447,JRD elected to pause further enrollment to assess emerging data,FALSE,NA
NCT04649710,Business objectives have changed,FALSE,NA
NCT04726163,inclusion difficulties,FALSE,NA
NCT04763837,unable to continue,FALSE,NA
NCT04767958,Device pulled from market due to inconsistent results.,FALSE,NA
NCT04819256,Funding diverted to expansion of programme and PACE-It App,FALSE,NA
NCT04841538,Sponsor's clinical development strategy adjustment,FALSE,NA
NCT04846946,Opted to not conduct this study; revised to a more condensed study.,FALSE,NA
NCT04849715,business decision; no enrolled patients,FALSE,NA
