nctid,stop_date,stop_status,restart_date,restart_status,why_stopped
NCT05413252,NA,NA,NA,NA,NA
NCT05413239,NA,NA,NA,NA,NA
NCT05413226,NA,NA,NA,NA,NA
NCT05413213,NA,NA,NA,NA,NA
NCT05413200,NA,NA,NA,NA,NA
NCT05413187,2022-06-07,Withdrawn,NA,NA,withdrawn due to COVID-19
NCT05413174,NA,NA,NA,NA,NA
NCT05413161,NA,NA,NA,NA,NA
NCT05413148,NA,NA,NA,NA,NA
NCT05413135,NA,NA,NA,NA,NA
NCT05413122,NA,NA,NA,NA,NA
NCT05413109,NA,NA,NA,NA,NA
NCT05413096,NA,NA,NA,NA,NA
NCT05413083,NA,NA,NA,NA,NA
NCT05413070,NA,NA,NA,NA,NA
NCT05413057,NA,NA,NA,NA,NA
NCT05413044,NA,NA,NA,NA,NA
NCT05413018,NA,NA,NA,NA,NA
NCT05412979,NA,NA,NA,NA,NA
NCT05412966,NA,NA,NA,NA,NA
NCT05412953,NA,NA,NA,NA,NA
NCT05412940,NA,NA,NA,NA,NA
NCT05412927,NA,NA,NA,NA,NA
NCT05412914,NA,NA,NA,NA,NA
NCT05412901,NA,NA,NA,NA,NA
NCT05412888,NA,NA,NA,NA,NA
NCT05412875,NA,NA,NA,NA,NA
NCT05412862,NA,NA,NA,NA,NA
NCT05412849,NA,NA,NA,NA,NA
NCT05412836,NA,NA,NA,NA,NA
NCT05412823,NA,NA,NA,NA,NA
NCT05412810,NA,NA,NA,NA,NA
NCT05412797,NA,NA,NA,NA,NA
NCT05412784,NA,NA,NA,NA,NA
NCT05412771,NA,NA,NA,NA,NA
NCT05412758,NA,NA,NA,NA,NA
NCT05412732,NA,NA,NA,NA,NA
NCT05412719,NA,NA,NA,NA,NA
NCT05412706,NA,NA,NA,NA,NA
NCT05412693,NA,NA,NA,NA,NA
NCT05412680,NA,NA,NA,NA,NA
NCT05412654,NA,NA,NA,NA,NA
NCT05412641,NA,NA,NA,NA,NA
NCT05412628,NA,NA,NA,NA,NA
NCT05412615,NA,NA,NA,NA,NA
NCT05412602,NA,NA,NA,NA,NA
NCT05412589,NA,NA,NA,NA,NA
NCT05412576,NA,NA,NA,NA,NA
NCT05412563,NA,NA,NA,NA,NA
NCT05412537,NA,NA,NA,NA,NA
NCT05412524,NA,NA,NA,NA,NA
NCT05412511,NA,NA,NA,NA,NA
NCT05412498,NA,NA,NA,NA,NA
NCT05412485,NA,NA,NA,NA,NA
