nctid,stop_date,stop_status,restart_date,restart_status,why_stopped
NCT05636007,NA,NA,NA,NA,NA
NCT05635994,NA,NA,NA,NA,NA
NCT05635981,NA,NA,NA,NA,NA
NCT05635968,NA,NA,NA,NA,NA
NCT05635955,NA,NA,NA,NA,NA
NCT05635942,NA,NA,NA,NA,NA
NCT05635929,NA,NA,NA,NA,NA
NCT05635916,NA,NA,NA,NA,NA
NCT05635903,NA,NA,NA,NA,NA
NCT05635890,NA,NA,NA,NA,NA
NCT05635877,NA,NA,NA,NA,NA
NCT05635864,NA,NA,NA,NA,NA
NCT05635851,NA,NA,NA,NA,NA
NCT05635838,NA,NA,NA,NA,NA
NCT05635825,NA,NA,NA,NA,NA
NCT05635812,NA,NA,NA,NA,NA
NCT05635799,NA,NA,NA,NA,NA
NCT05635786,NA,NA,NA,NA,NA
NCT05635773,NA,NA,NA,NA,NA
NCT05635760,NA,NA,NA,NA,NA
NCT05635747,NA,NA,NA,NA,NA
NCT05635734,NA,NA,NA,NA,NA
NCT05635721,NA,NA,NA,NA,NA
NCT05635708,NA,NA,NA,NA,NA
NCT05635695,NA,NA,NA,NA,NA
NCT05635682,NA,NA,NA,NA,NA
NCT05635669,NA,NA,NA,NA,NA
NCT05635656,NA,NA,NA,NA,NA
NCT05635643,NA,NA,NA,NA,NA
NCT05635630,NA,NA,NA,NA,NA
NCT05635617,NA,NA,NA,NA,NA
NCT05635591,NA,NA,NA,NA,NA
NCT05635578,NA,NA,NA,NA,NA
NCT05635565,NA,NA,NA,NA,NA
NCT05635552,NA,NA,NA,NA,NA
NCT05635539,NA,NA,NA,NA,NA
NCT05635526,NA,NA,NA,NA,NA
NCT05635513,NA,NA,NA,NA,NA
NCT05635500,NA,NA,NA,NA,NA
NCT05635487,NA,NA,NA,NA,NA
NCT05635474,NA,NA,NA,NA,NA
NCT05635461,NA,NA,NA,NA,NA
NCT05635448,NA,NA,NA,NA,NA
NCT05635435,NA,NA,NA,NA,NA
NCT05635422,NA,NA,NA,NA,NA
NCT05635409,NA,NA,NA,NA,NA
NCT05635396,NA,NA,NA,NA,NA
NCT05635383,NA,NA,NA,NA,NA
NCT05635370,NA,NA,NA,NA,NA
NCT05635357,NA,NA,NA,NA,NA
NCT05635344,NA,NA,NA,NA,NA
NCT05635331,NA,NA,NA,NA,NA
NCT05635318,NA,NA,NA,NA,NA
NCT05635305,NA,NA,NA,NA,NA
NCT05635292,NA,NA,NA,NA,NA
NCT05635279,NA,NA,NA,NA,NA
NCT05635266,NA,NA,NA,NA,NA
NCT05635253,NA,NA,NA,NA,NA
NCT05635240,NA,NA,NA,NA,NA
NCT05635227,NA,NA,NA,NA,NA
NCT05635214,NA,NA,NA,NA,NA
NCT05635201,NA,NA,NA,NA,NA
NCT05635175,NA,NA,NA,NA,NA
NCT05635162,NA,NA,NA,NA,NA
NCT05635149,NA,NA,NA,NA,NA
NCT05635123,NA,NA,NA,NA,NA
NCT05635110,NA,NA,NA,NA,NA
NCT05635097,NA,NA,NA,NA,NA
NCT05635084,NA,NA,NA,NA,NA
NCT05635071,NA,NA,NA,NA,NA
NCT05635045,NA,NA,NA,NA,NA
NCT05635032,NA,NA,NA,NA,NA
NCT05635019,NA,NA,NA,NA,NA
NCT05635006,NA,NA,NA,NA,NA
NCT05634993,NA,NA,NA,NA,NA
NCT05634980,NA,NA,NA,NA,NA
NCT05634967,NA,NA,NA,NA,NA
NCT05634954,NA,NA,NA,NA,NA
NCT05634941,NA,NA,NA,NA,NA
NCT05634928,NA,NA,NA,NA,NA
NCT05634915,NA,NA,NA,NA,NA
NCT05634902,NA,NA,NA,NA,NA
NCT05634889,NA,NA,NA,NA,NA
NCT05634876,NA,NA,NA,NA,NA
NCT05634863,NA,NA,NA,NA,NA
NCT05634850,NA,NA,NA,NA,NA
NCT05634837,NA,NA,NA,NA,NA
NCT05634824,NA,NA,NA,NA,NA
NCT05634811,NA,NA,NA,NA,NA
NCT05634798,NA,NA,NA,NA,NA
NCT05634772,NA,NA,NA,NA,NA
NCT05634759,NA,NA,NA,NA,NA
NCT05634746,NA,NA,NA,NA,NA
NCT05634733,NA,NA,NA,NA,NA
NCT05634720,NA,NA,NA,NA,NA
NCT05634707,NA,NA,NA,NA,NA
NCT05634694,NA,NA,NA,NA,NA
NCT05634681,NA,NA,NA,NA,NA
NCT05634668,NA,NA,NA,NA,NA
NCT05634655,NA,NA,NA,NA,NA
NCT05634642,NA,NA,NA,NA,NA
NCT05634629,NA,NA,NA,NA,NA
NCT05634616,NA,NA,NA,NA,NA
NCT05634603,NA,NA,NA,NA,NA
NCT05634590,NA,NA,NA,NA,NA
NCT05634577,NA,NA,NA,NA,NA
NCT05634538,NA,NA,NA,NA,NA
NCT05634525,NA,NA,NA,NA,NA
NCT05634512,NA,NA,NA,NA,NA
NCT05634499,NA,NA,NA,NA,NA
