nctid,restart_date,restart_status
NCT01280565,NA,NA
NCT02715804,NA,NA
NCT03267940,NA,NA
NCT03463018,NA,NA
NCT03716050,NA,NA
NCT00341068,NA,NA
NCT02790957,NA,NA
NCT03309696,NA,NA
NCT03869762,NA,NA
NCT02392286,NA,NA
NCT03033511,NA,NA
NCT01978457,NA,NA
NCT02566889,NA,NA
NCT02664363,NA,NA
NCT02882711,NA,NA
NCT02945046,NA,NA
NCT03107052,NA,NA
NCT03119701,NA,NA
NCT03258476,NA,NA
NCT00005664,NA,NA
NCT03126903,NA,NA
NCT03531710,NA,NA
NCT03827473,NA,NA
NCT01889992,NA,NA
NCT02795338,NA,NA
NCT02906670,NA,NA
NCT03123055,NA,NA
NCT03688464,NA,NA
NCT03936608,NA,NA
NCT01958580,NA,NA
NCT02112552,NA,NA
NCT02407171,2023-10-16,COMPLETED
NCT02637713,NA,NA
NCT03075553,NA,NA
NCT03720080,NA,NA
NCT02282904,NA,NA
NCT03862872,NA,NA
NCT00227617,NA,NA
NCT02383992,NA,NA
NCT02257346,NA,NA
NCT03078504,NA,NA
NCT01895582,NA,NA
NCT02433158,NA,NA
NCT02990273,NA,NA
NCT03105362,NA,NA
NCT01526928,NA,NA
NCT02559960,NA,NA
NCT02599649,NA,NA
NCT03556501,NA,NA
NCT03907072,NA,NA
NCT04106076,NA,NA
NCT01641601,NA,NA
NCT03292653,NA,NA
NCT02760615,NA,NA
NCT02818946,NA,NA
NCT03387033,NA,NA
NCT03423082,NA,NA
NCT03465891,NA,NA
NCT04007367,NA,NA
NCT03901547,NA,NA
NCT04208451,NA,NA
NCT01041027,NA,NA
NCT01367301,NA,NA
NCT01950910,NA,NA
NCT01954875,NA,NA
NCT02530931,NA,NA
NCT00342927,2023-05-20,RECRUITING
NCT03517735,NA,NA
NCT03540875,NA,NA
NCT01185366,NA,NA
NCT02101554,NA,NA
NCT02470728,NA,NA
NCT02974686,NA,NA
NCT03281239,NA,NA
NCT03440411,NA,NA
NCT03490669,2023-04-20,COMPLETED
NCT02414165,NA,NA
NCT02489214,NA,NA
NCT02576665,NA,NA
NCT02753816,NA,NA
NCT03005054,NA,NA
NCT03206788,NA,NA
NCT02507973,NA,NA
NCT01349036,NA,NA
NCT02246920,NA,NA
NCT02503735,NA,NA
NCT02692157,NA,NA
NCT02946918,NA,NA
NCT03040427,NA,NA
NCT03371823,NA,NA
NCT01846182,NA,NA
NCT02025426,NA,NA
NCT03119571,NA,NA
NCT01059409,NA,NA
NCT02992977,NA,NA
NCT03465709,NA,NA
NCT03771664,NA,NA
NCT03773133,NA,NA
NCT03915886,NA,NA
NCT03123393,NA,NA
NCT03580382,NA,NA
NCT03700294,NA,NA
NCT04007588,NA,NA
NCT04128293,NA,NA
NCT00608894,NA,NA
NCT01381211,NA,NA
NCT02664922,NA,NA
NCT02895945,NA,NA
NCT03146663,NA,NA
NCT03261531,NA,NA
NCT03746002,NA,NA
NCT04082741,NA,NA
NCT02167477,NA,NA
NCT02538406,NA,NA
NCT03534362,NA,NA
NCT02169830,NA,NA
NCT02475369,NA,NA
NCT03028324,NA,NA
NCT03312114,NA,NA
NCT03474666,NA,NA
NCT03699475,NA,NA
NCT02586012,NA,NA
NCT02955121,NA,NA
NCT03217253,NA,NA
NCT03345407,NA,NA
NCT03498196,NA,NA
NCT00495716,NA,NA
NCT03332030,NA,NA
NCT03584269,NA,NA
NCT03530332,NA,NA
NCT03054766,2022-12-25,COMPLETED
NCT03334006,NA,NA
NCT04162366,NA,NA
NCT01668225,NA,NA
NCT01917318,NA,NA
NCT02639390,NA,NA
NCT02680834,NA,NA
NCT02819804,NA,NA
NCT02899325,NA,NA
NCT02913105,NA,NA
NCT02953561,NA,NA
NCT04125719,NA,NA
NCT01462240,NA,NA
NCT02013778,NA,NA
NCT02290028,NA,NA
NCT02305563,NA,NA
NCT02462759,NA,NA
NCT03061279,NA,NA
NCT03382925,NA,NA
NCT03573505,NA,NA
NCT04144335,NA,NA
NCT03904420,NA,NA
NCT02837783,NA,NA
NCT03134404,NA,NA
NCT03028012,NA,NA
NCT03973879,NA,NA
NCT00969332,NA,NA
NCT01243229,2023-03-31,COMPLETED
NCT03382665,NA,NA
NCT04210726,NA,NA
NCT03528343,NA,NA
NCT03680911,NA,NA
NCT03972046,NA,NA
NCT02038998,NA,NA
NCT02414698,NA,NA
NCT02733081,NA,NA
NCT03250117,NA,NA
NCT03674450,NA,NA
NCT03574818,NA,NA
NCT04260061,NA,NA
NCT02837042,NA,NA
NCT03926546,NA,NA
NCT02490384,NA,NA
NCT02725671,NA,NA
NCT03111914,NA,NA
NCT03501966,NA,NA
NCT03896347,NA,NA
NCT02504203,NA,NA
NCT04266158,NA,NA
NCT02774681,NA,NA
NCT02928029,NA,NA
NCT03266692,NA,NA
NCT03648775,NA,NA
NCT01772875,NA,NA
NCT02588807,NA,NA
NCT02704936,NA,NA
NCT02929056,NA,NA
NCT03093272,NA,NA
NCT03469258,NA,NA
NCT03764566,NA,NA
NCT03825939,NA,NA
NCT03891979,NA,NA
NCT02541903,NA,NA
NCT03344341,NA,NA
NCT03378973,NA,NA
NCT04268966,NA,NA
NCT02129322,NA,NA
NCT03213210,NA,NA
NCT03215667,NA,NA
NCT03277183,NA,NA
NCT04041037,NA,NA
NCT04272775,NA,NA
NCT02721251,NA,NA
NCT03353220,NA,NA
NCT03802227,NA,NA
NCT02412631,NA,NA
NCT02781805,NA,NA
NCT02939599,NA,NA
NCT03593694,NA,NA
NCT02698865,NA,NA
NCT02978222,NA,NA
NCT03158857,NA,NA
NCT01585688,NA,NA
NCT02694757,NA,NA
NCT03153956,NA,NA
NCT03532308,NA,NA
NCT03594045,NA,NA
NCT03674502,NA,NA
NCT04278664,NA,NA
NCT02026297,NA,NA
NCT02665962,NA,NA
NCT02743598,NA,NA
NCT03126539,NA,NA
NCT03201809,NA,NA
NCT03688945,NA,NA
NCT02548611,NA,NA
NCT02955147,NA,NA
NCT03044249,NA,NA
NCT03426137,NA,NA
NCT03973346,NA,NA
NCT03654378,NA,NA
NCT03722797,NA,NA
NCT03890341,NA,NA
NCT02532972,NA,NA
NCT02688348,NA,NA
NCT03006562,NA,NA
NCT03718143,NA,NA
NCT00091286,NA,NA
NCT00394550,NA,NA
NCT02102022,NA,NA
NCT02385669,NA,NA
NCT02275871,NA,NA
NCT03052270,NA,NA
NCT03116009,NA,NA
NCT03415581,NA,NA
NCT03429101,NA,NA
NCT03715725,NA,NA
NCT00547066,NA,NA
NCT01101594,NA,NA
NCT02073344,NA,NA
