nctid,stop_date,stop_status,restart_date,restart_status,why_stopped,covid19_explicit,restart_expected
NCT01280565,2019-12-02,Terminated,NA,NA,Sponsor decision based on portfolio prioritization,FALSE,NA
NCT02025543,2019-12-02,Suspended,2020-09-21,"Active, not recruiting","Protocol Modifications Approved, Equipment Pending",FALSE,NA
NCT02501707,2019-12-02,Terminated,NA,NA,The study is prematurely terminated due to bad inclusion and the fact that examinations are already being used in standard care.,FALSE,NA
NCT02573545,2019-12-02,Terminated,NA,NA,Difficulty recruiting patients,FALSE,NA
NCT02715804,2019-12-02,Terminated,NA,NA,Sponsor decision,FALSE,NA
NCT03050814,2019-12-02,Suspended,2020-01-31,"Active, not recruiting",The manufacturer indicated a problem with the vaccine product. The product is currently being withheld from further use in clinical trials.,FALSE,NA
NCT03267940,2019-12-02,Terminated,NA,NA,Sponsor decision,FALSE,NA
NCT03352791,2019-12-02,Terminated,NA,NA,Due to operational changes at the participating agency.,FALSE,NA
NCT03368742,2019-12-02,Suspended,2020-10-21,"Active, not recruiting",Clinical Hold,FALSE,NA
NCT03459755,2019-12-02,Withdrawn,NA,NA,investigator decision,FALSE,NA
NCT03463018,2019-12-02,Suspended,NA,NA,Recruitment error; Inclusion criteria not met,FALSE,NA
NCT03716050,2019-12-02,Terminated,NA,NA,PI decision due to slow accrual,FALSE,NA
NCT03794570,2019-12-02,Withdrawn,NA,NA,Investigator separated from institution,FALSE,NA
NCT03964506,2019-12-02,Withdrawn,2020-01-22,Not yet recruiting,support for study ended,FALSE,NA
NCT04007003,2019-12-02,Terminated,NA,NA,Sponsor decision,FALSE,NA
NCT00341068,2019-12-03,Terminated,NA,NA,NA,FALSE,NA
NCT02689219,2019-12-03,Terminated,NA,NA,lack of funding/ benefit,FALSE,NA
NCT02790957,2019-12-03,Terminated,NA,NA,Safety reasons,FALSE,NA
NCT03249129,2019-12-03,Withdrawn,NA,NA,sponsor decision,FALSE,NA
NCT03309696,2019-12-03,Terminated,NA,NA,Funding issues,FALSE,NA
NCT03869762,2019-12-03,Suspended,NA,NA,Insufficient accrual,FALSE,NA
NCT02392286,2019-12-04,Terminated,NA,NA,insufficient enrollment,FALSE,NA
NCT02418273,2019-12-04,Withdrawn,NA,NA,was not funded,FALSE,NA
NCT02557516,2019-12-04,Terminated,NA,NA,Sponsor decision,FALSE,NA
NCT03033511,2019-12-04,Terminated,NA,NA,IDMC recommendation,FALSE,NA
NCT03601507,2019-12-04,Suspended,2020-12-09,Recruiting,IRB has put a temporary hold on this trial until the consent form is corrected and submitted for IRB approval.,FALSE,NA
NCT03627052,2019-12-04,Withdrawn,NA,NA,Study withdrawn due to lack of recruitment. No patients enrolled. No safety concerns.,FALSE,NA
NCT03749382,2019-12-04,Suspended,2020-09-03,Completed,The study is suspended due to time constraints,FALSE,NA
NCT03851263,2019-12-04,Withdrawn,NA,NA,Admisnitrative issues,FALSE,NA
NCT03851276,2019-12-04,Withdrawn,NA,NA,Administrative issues,FALSE,NA
NCT01621594,2019-12-05,Suspended,2020-02-12,Recruiting,NA,FALSE,NA
NCT01978457,2019-12-05,Suspended,NA,NA,Not funded,FALSE,NA
NCT02566889,2019-12-05,Terminated,NA,NA,Study was terminated due to the inability to enroll a sufficient number of the required subject population,FALSE,NA
NCT02636283,2019-12-05,Terminated,NA,NA,Recruitment,FALSE,NA
NCT02664363,2019-12-05,Terminated,NA,NA,Study funding ended,FALSE,NA
NCT02882711,2019-12-05,Terminated,NA,NA,Increasing off-label practice of IV ketamine administration for treatment-resistant depression.,FALSE,NA
NCT02945046,2019-12-05,Terminated,NA,NA,Study was terminated as a result of a pre-specified futility analysis at the interim of 150 patients completing the efficacy phase of the study,FALSE,NA
NCT03107052,2019-12-05,Terminated,NA,NA,The study was terminated after the episodic cluster study was terminated due to a pre specified futility analyses,FALSE,NA
NCT03114020,2019-12-05,Terminated,2020-04-17,Completed,"Enrollment stopped as of Nov 18, 2019 due to slow enrollment.",FALSE,NA
NCT03119701,2019-12-05,Terminated,NA,NA,IDMC recommendation. Unexpectedly high use of concomitant corticosteroid treatment.,FALSE,NA
NCT03258476,2019-12-05,Terminated,NA,NA,Contract terminated,FALSE,NA
NCT00005664,2019-12-06,Terminated,NA,NA,NA,FALSE,NA
NCT02532543,2019-12-06,Terminated,NA,NA,Difficulty in recruitment,FALSE,NA
NCT02600663,2019-12-06,Terminated,NA,NA,insufficient recruitment,FALSE,NA
NCT02895958,2019-12-06,Terminated,NA,NA,Insufficient study participants enrolled,FALSE,NA
NCT02900794,2019-12-06,Withdrawn,NA,NA,No enrollment,FALSE,NA
NCT02993146,2019-12-06,Suspended,2020-02-28,Recruiting,Other - Amendment required to lower treatment dosage,FALSE,NA
NCT02994251,2019-12-06,Terminated,NA,NA,Study terminated due to low enrollment making it unlikely to meet recruitment goals.,FALSE,NA
NCT03126903,2019-12-06,Terminated,NA,NA,KeraMed is being discontinued because it is no longer feasible due to the slow pace of recruitment and insufficient financial resources.,FALSE,NA
NCT03285243,2019-12-06,Withdrawn,2020-09-10,Completed,study does not meet criteria for clinical trial,FALSE,NA
NCT03531710,2019-12-06,Terminated,NA,NA,"United Neuroscience has decided to terminate V203-AD-EXT study based on review of baseline data, and the treatment assignment error issue.",FALSE,NA
NCT03827473,2019-12-06,Terminated,NA,NA,"The trial was closed because the changing standard of care landscape, making this trial not impactful anymore.",FALSE,NA
NCT03938077,2019-12-06,Withdrawn,NA,NA,"Unfortunately, the co-PI and lead community partner relocated out of the target area. Therefore, recruiting participants from the target area was not feasible.",FALSE,NA
NCT04149392,2019-12-06,Withdrawn,NA,NA,Changed to quality improvement project,FALSE,NA
NCT01889992,2019-12-09,Suspended,NA,NA,PI left University and project not continued,FALSE,NA
NCT02115386,2019-12-09,Terminated,NA,NA,Study was terminated by Novartis,FALSE,NA
