nctid,stop_date,stop_status,restart_date,restart_status,why_stopped
NCT02806362,2016-12-02,Withdrawn,NA,NA,"Study halted prematurely, prior to enrollment of first participant"
NCT02748395,2016-12-02,Withdrawn,NA,NA,No IRB approval
NCT02345096,2016-12-02,Terminated,NA,NA,Recruitment difficulties
NCT00450515,2016-12-02,Withdrawn,NA,NA,Study was dropped prior to opening.
NCT00075608,2016-12-02,Terminated,NA,NA,poor accrual
NCT02805036,2016-12-02,Terminated,2017-02-22,Completed,not enough patients
NCT02900183,2016-12-02,Withdrawn,NA,NA,Company decision to not initiate trial
NCT01045694,2016-12-02,Terminated,NA,NA,Unable to acquire additional funding needed to continue this study.
NCT02198482,2016-12-02,Terminated,NA,NA,development program of study drug volasertib was stopped by Boehringer Ingelheim due to manufacturing problems
NCT01975376,2016-12-02,Terminated,NA,NA,See Detailed Description
NCT02738008,2016-12-02,Terminated,NA,NA,Company decision to discontinue trial
NCT02604212,2016-12-02,Terminated,NA,NA,Company decision to discontinue trial
NCT02604199,2016-12-02,Terminated,NA,NA,Company decision to discontinue trial
NCT02577029,2016-12-02,Terminated,NA,NA,Company decision to discontinue trial
NCT01975389,2016-12-02,Terminated,NA,NA,See Detailed Description
NCT02065336,2016-12-02,Terminated,NA,NA,Company decision to discontinue trial
NCT02398318,2016-12-04,Withdrawn,NA,NA,A pilot study is recruiting
NCT02212899,2016-12-04,Terminated,NA,NA,Sponsor Decision
NCT02661100,2016-12-05,Withdrawn,NA,NA,Drug unavailable
NCT02639767,2016-12-05,Withdrawn,NA,NA,Lack of accrual
NCT02420938,2016-12-05,Withdrawn,NA,NA,NA
NCT01592630,2016-12-05,Withdrawn,NA,NA,Investigator Left Institution
NCT01531686,2016-12-05,Terminated,NA,NA,Slow rate of enrollment
NCT00875602,2016-12-05,Withdrawn,NA,NA,NO need
NCT01957410,2016-12-05,Terminated,NA,NA,Clinical Team decision to terminate the study after the results from Cohort 1 did not support conducting Cohort 2.
NCT01969942,2016-12-05,Withdrawn,NA,NA,No subjects meeting study inclusion were enrolled.
NCT02762487,2016-12-05,Terminated,NA,NA,Insufficient enrollment
NCT02947334,2016-12-05,Withdrawn,NA,NA,NA
NCT02257619,2016-12-05,Terminated,NA,NA,Sponsor decision to not initiate part 2 due to slow enrollment and competing trials.
NCT01931462,2016-12-05,Terminated,NA,NA,Slow enrollment
NCT02986711,2016-12-05,Terminated,NA,NA,Funding exhausted
NCT02122133,2016-12-05,Terminated,NA,NA,Business decision to focus on other studies. No safety concern
NCT02581501,2016-12-05,Withdrawn,NA,NA,"Due to no enrollment, Celgene (sponsor) withdrew funding"
NCT02012192,2016-12-05,Suspended,NA,NA,production of IMP has stopped
NCT02631473,2016-12-06,Suspended,NA,NA,Study is on hold whilst a grant application for further funding is put together
NCT01347684,2016-12-06,Withdrawn,NA,NA,PI left University of Minnesota
NCT02086708,2016-12-06,Terminated,NA,NA,The technology showed rapid acceptance in the general population and we halted our feasibility demonstration study.
NCT02338141,2016-12-06,Terminated,NA,NA,Funding unavailable to perform study.
NCT02208349,2016-12-06,Terminated,NA,NA,We ran an interim analysis and found that additional enrollment would not alter our current findings so terminated the trial.
NCT02988258,2016-12-06,Suspended,2017-02-20,Recruiting,No more vector available. Waiting for extra funding to get more vector.
NCT02277392,2016-12-06,Withdrawn,NA,NA,NA
NCT01408043,2016-12-06,Terminated,NA,NA,Slow Accrual
NCT02112162,2016-12-07,Terminated,NA,NA,Loss of funding
NCT02988726,2016-12-07,Terminated,NA,NA,Slow accrual
NCT00929019,2016-12-07,Terminated,NA,NA,slow accrual
NCT02640521,2016-12-08,Withdrawn,NA,NA,NA
NCT02573220,2016-12-08,Withdrawn,NA,NA,Study terminated by PI due to inability to accrue.
NCT02495805,2016-12-08,Withdrawn,NA,NA,Study never officially began- currently closed with IRB.
